Frequency (Hz),Magnitude (dB),Phase (degrees)
34.27677865,13.97951057,-0.130308249
34.35579479,13.97951108,-0.130608649
34.43499308,13.97951159,-0.130909741
34.51437393,13.97951211,-0.131211528
34.59393778,13.97951262,-0.13151401
34.67368505,13.97951314,-0.131817189
34.75361614,13.97951366,-0.132121068
34.8337315,13.97951419,-0.132425647
34.91403155,13.97951472,-0.132730928
34.9945167,13.97951524,-0.133036913
35.0751874,13.97951578,-0.133343604
35.15604405,13.97951631,-0.133651001
35.2370871,13.97951685,-0.133959107
35.31831698,13.97951739,-0.134267924
35.39973411,13.97951793,-0.134577452
35.48133892,13.97951847,-0.134887694
35.56313186,13.97951902,-0.135198652
35.64511334,13.97951957,-0.135510326
35.72728382,13.97952012,-0.135822719
35.80964371,13.97952067,-0.136135832
35.89219346,13.97952123,-0.136449667
35.97493352,13.97952179,-0.136764225
36.0578643,13.97952235,-0.137079509
36.14098626,13.97952291,-0.137395519
36.22429984,13.97952348,-0.137712258
36.30780548,13.97952405,-0.138029727
36.39150361,13.97952462,-0.138347928
36.47539469,13.9795252,-0.138666863
36.55947916,13.97952577,-0.138986533
36.64375746,13.97952635,-0.13930694
36.72823005,13.97952694,-0.139628086
36.81289736,13.97952752,-0.139949972
36.89775986,13.97952811,-0.1402726
36.98281798,13.9795287,-0.140595972
37.06807218,13.9795293,-0.140920089
37.15352291,13.97952989,-0.141244954
37.23917063,13.97953049,-0.141570568
37.32501578,13.97953109,-0.141896932
37.41105883,13.9795317,-0.142224049
37.49730022,13.97953231,-0.14255192
37.58374043,13.97953292,-0.142880547
37.6703799,13.97953353,-0.143209931
37.75721909,13.97953414,-0.143540075
37.84425847,13.97953476,-0.14387098
37.9314985,13.97953539,-0.144202648
38.01893963,13.97953601,-0.144535081
38.10658234,13.97953664,-0.14486828
38.19442708,13.97953727,-0.145202247
38.28247433,13.9795379,-0.145536984
38.37072455,13.97953854,-0.145872493
38.4591782,13.97953918,-0.146208775
38.54783577,13.97953982,-0.146545833
38.63669771,13.97954046,-0.146883667
38.72576449,13.97954111,-0.147222281
38.8150366,13.97954176,-0.147561675
38.9045145,13.97954242,-0.147901852
38.99419867,13.97954307,-0.148242813
39.08408958,13.97954373,-0.14858456
39.17418771,13.9795444,-0.148927095
39.26449354,13.97954506,-0.149270419
39.35500755,13.97954573,-0.149614536
39.44573021,13.9795464,-0.149959445
39.53666201,13.97954708,-0.15030515
39.62780343,13.97954776,-0.150651652
39.71915495,13.97954844,-0.150998952
39.81071706,13.97954912,-0.151347053
39.90249024,13.97954981,-0.151695957
39.99447498,13.9795505,-0.152045665
40.08667176,13.9795512,-0.15239618
40.17908108,13.97955189,-0.152747503
40.27170343,13.97955259,-0.153099635
40.3645393,13.9795533,-0.153452579
40.45758917,13.97955401,-0.153806338
40.55085354,13.97955472,-0.154160911
40.64433292,13.97955543,-0.154516302
40.73802778,13.97955615,-0.154872513
40.83193863,13.97955687,-0.155229545
40.92606597,13.97955759,-0.1555874
41.0204103,13.97955832,-0.15594608
41.11497211,13.97955905,-0.156305587
41.20975191,13.97955978,-0.156665922
41.3047502,13.97956052,-0.157027089
41.39996748,13.97956126,-0.157389088
41.49540426,13.979562,-0.157751922
41.59106105,13.97956275,-0.158115592
41.68693835,13.9795635,-0.158480101
